Amarok;2.0 TDI (EA189);2017;2017765.27;1227.67;1146.07;1227.67;1146.07;1227.67;1146.07;1227.67;1146.07;1227.67
 Amarok;2.0 TDI (EA189);2018;2019765.62;1235.47;1146.42;1235.47;1146.42;1235.47;1146.42;1235.47;1146.42;1235.47
 Amarok;2.0 TDI (EA189);2020;20201146.42;1610.47;1146.42;1610.47;1146.42;1610.47;1146.42;1610.47;1146.42;1610.47
 Amarok;2.0 TDI (EA189);2021;20221369.22;1833.26;1369.22;1833.26;1369.22;1833.26;1369.22;1833.26;1369.22;1833.26
 Amarok;3.0 TDI V6 (EA897);2018;2019884.57;1272.83;1210.97;1272.83;1210.97;1272.83;1210.97;1272.83;1210.97;1272.83
 Amarok;3.0 TDI V6 (EA897);2020;20201210.97;1835.04;1210.97;1835.04;1210.97;1835.04;1210.97;1835.04;1210.97;1835.04
 Amarok;3.0 TDI V6 (EA897);2021;20221433.77;2057.81;1433.77;2057.81;1433.77;2057.81;1433.77;2057.81;1433.77;2057.81
 CC;2.0 TSI (EA888);2016;2017442.39;1021.69;714.40;1021.69;714.40;1021.69;714.40;1021.69;714.40;1021.69
 CrossFox;1.6 (EA211);2018;2018433.29;724.65;655.05;1009.16;655.05;724.65;655.05;1009.16;655.05;724.65
 CrossFox;1.6 (EA211);2016;2017433.29;812.85;655.05;1097.34;655.05;812.85;655.05;1097.34;655.05;812.85
 Fox;1.0 (EA211);2018;2018355.34;646.70;577.10;854.27;577.10;646.70;577.10;854.27;577.10;646.70
 Fox;1.0 (EA211);2016;2017355.34;734.88;577.10;942.48;577.10;734.88;577.10;942.48;577.10;734.88
 Fox;1.6 (EA111);2018;2018334.14;635.74;566.14;862.14;566.14;635.74;566.14;862.14;566.14;635.74
 Fox;1.6 (EA111);2016;2017334.14;723.92;566.14;950.34;566.14;723.92;566.14;950.34;566.14;723.92
 Fox;1.6 (EA111) Connect / Xtreme;2019;2019334.14;635.74;566.14;862.14;566.14;635.74;566.14;862.14;566.14;635.74
 Fox;1.6 (EA111) Connect / Xtreme;2020;2022566.14;635.74;566.14;862.14;566.14;635.74;566.14;862.14;566.14;635.74
 Fox;1.6 (EA211) Pepper/Highline;2016;2016396.08;775.62;617.84;1060.15;617.84;775.62;617.84;1060.15;617.84;775.62
 Fox;1.6 (EA211) Pepper/Highline;2018;2018425.17;716.53;646.93;1001.04;646.93;716.53;646.93;1001.04;646.93;716.53
 Fox;1.6 (EA211) Pepper/Highline;2017;2017425.17;804.71;646.93;1089.24;646.93;804.71;646.93;1089.24;646.93;804.71
 Fusca;2.0 TSI (EA888);2016;2016455.24;1091.04;727.25;1091.04;727.25;1091.04;727.25;1091.04;727.25;1091.04
 Gol;1.0 (EA211) com A/C;2018;2018339.63;630.99;561.39;838.57;561.39;630.99;561.39;838.57;561.39;630.99
 Gol;1.0 (EA211) com A/C;2017;2017339.63;719.19;561.39;926.77;561.39;719.19;561.39;926.77;561.39;719.19
 Gol;1.0 (EA211) sem A/C;2017;2018339.63;630.99;561.39;838.57;561.39;630.99;561.39;838.57;561.39;630.99
 Gol;1.0 MPI (EA211);2019;2019339.63;630.99;561.39;838.57;561.39;630.99;561.39;838.57;561.39;630.99
 Gol;1.0 MPI (EA211);2020;2022571.63;630.99;561.39;838.57;561.39;630.99;561.39;838.57;561.39;630.99
 Gol;1.6 (EA111);2019;2019318.43;620.03;550.43;846.43;550.43;620.03;550.43;846.43;550.43;620.03
 Gol;1.6 (EA111);2020;2022550.43;620.03;550.43;846.43;550.43;620.03;550.43;846.43;550.43;620.03
 Gol;1.6 (EA111) com A/C;2018;2018318.43;620.03;550.43;846.43;550.43;620.03;550.43;846.43;550.43;620.03
 Gol;1.6 (EA111) com A/C;2016;2017318.43;708.23;550.43;934.64;550.43;708.23;550.43;934.64;550.43;708.23
 Gol;1.6 (EA111) sem A/C;2016;2017318.43;620.03;550.43;846.43;550.43;620.03;550.43;846.43;550.43;620.03
